Name,Address,Phone,Website,Category,Tier,PitchAngle,TargetPrice,Notes
LA Memorial Coliseum,3911 S Figueroa St Los Angeles CA 90037,(213) 747-7111,https://lacoliseum.com,FIFA Fan Festival,GOLD_OFFICIAL,vendor_partnership,$1997,Official FIFA Fan Festival. Hundreds of thousands of fans. Vendor/sponsor angle — not SEO. Pitch digital wayfinding and local SEO for surrounding food/merch vendors.
The Original Farmers Market,6333 W 3rd St Los Angeles CA 90036,(323) 933-9211,https://farmersmarketla.com,Official Fan Zone,GOLD_OFFICIAL,fan_zone_seo,$997,Official Fan Zone Jun 18-21. Beer gardens + intl food. Email management layer.
Union Station,800 N Alameda St Los Angeles CA 90012,N/A,https://unionstationla.com,Official Fan Zone,GOLD_OFFICIAL,transit_seo,$997,Fan Zone Jun 25-28. Transit captive audience. Pitch arriving fans finding nearby bars.
Stonewood Center,251 Stonewood St Downey CA 90241,(562) 904-1832,https://stonewoodcenter.com,Official Fan Zone,GOLD_OFFICIAL,mall_fanzone,$997,Official Fan Zone. Mall venue = management + marketing dept. Email only.
Manhattan Village,3200 N Sepulveda Blvd Manhattan Beach CA 90266,(310) 546-5555,https://manhattanvillage.com,Official Fan Zone,GOLD_OFFICIAL,mall_fanzone,$997,Official Fan Zone Manhattan Beach. Upscale mall demographic. Email marketing dept.
Hotel Ziggy on Sunset,8462 Sunset Blvd West Hollywood CA 90069,(323) 654-4600,https://hotelziggy.com,Premium Watch Party,GOLD_PREMIUM,experiential_seo,$1997,20+ LED screens + AR experiences + live DJs. Already doing experiential — needs Maps visibility for search traffic before events. Budget is there.
Regent Theater,448 Main St Los Angeles CA 90013,(323) 284-5727,https://theregenttheater.com,Theater Watch Party,GOLD_PREMIUM,event_seo,$1497,Vintage cinema hosting Mexico vs South Africa. Ticketed events = revenue-hungry operator. GBP likely uncategorized as watch party venue.
Ye Olde King's Head,116 Santa Monica Blvd Santa Monica CA 90401,(310) 451-1402,https://yeoldekingshead.com,Expat Soccer Pub,GOLD_SOCCER,diaspora_seo,$997,British expat pub — natural soccer crowd. June 12 USA opener brings massive non-British search traffic they aren't optimized for.
N17 The Lane,12821 Washington Blvd Culver City CA 90066,(310) 569-7358,https://n17thelane.com,Dedicated Soccer Bar,GOLD_SOCCER,ticketed_multiplier,$1997,CORRECTED PHONE. Only dedicated soccer gastropub in Culver City. Ticketed watch parties live (Brazil vs Morocco). Best upsell target.
Legends Sports Lounge,10612 Prairie Ave Inglewood CA 90304,(323) 942-8457,https://legendssportslounge.com,Match Celebration Hub,GOLD_ADJACENT,stadium_walkby,$997,CORRECTED ADDRESS + PHONE. Stadium-adjacent. Prairie Ave south entrance walk-by traffic.
Santa Monica Pier,200 Santa Monica Pier Santa Monica CA 90401,(310) 458-8900,https://santamonicapier.org,Pitch Side Club,GOLD_FANZONE,public_seo,$1497,Pitch Side Club public viewing. Massive tourist + local draw. Organization has budget. June 12 USA opener = peak.
Burton Chace Park,13650 Mindanao Way Marina del Rey CA 90292,(424) 526-7903,,Public Watch Party,GOLD_FANZONE,public_venue,$997,Public waterfront watch party Marina del Rey. Parks dept — email angle. Surrounding bars/restaurants are the real targets.
